,Src,Dst,Weight
0,4725,4670,0
1,4705,4710,1
2,4790,4722,0
3,4807,4638,1
4,4808,4659,1
5,4809,4810,1
6,4763,4784,0
7,4806,4731,1
8,4804,4811,0
9,4740,4812,0
10,4781,4747,1
11,4591,4714,0
12,4785,4813,1
13,4738,4622,1
14,4814,4712,1
15,4783,4754,1
16,4815,4816,0
17,4648,4753,1
18,4761,4797,0
19,4737,4801,0
20,4683,4743,0
21,4742,4767,1
22,4772,4817,1
23,4715,4587,1
24,4787,4792,0
25,4818,4720,0
26,4796,4793,0
27,4713,4778,0
28,4723,4786,1
29,4799,4769,1
30,4775,4782,0
31,4735,4819,0
32,4800,4770,0
33,4779,4691,0
34,4759,4820,0
35,4821,4803,1
36,4721,4822,1
37,4666,4823,0
38,4746,4728,1
39,4718,4798,0
40,4773,4824,0
41,4664,4694,0
42,4655,4795,0
43,4789,4756,1
44,4689,4794,0
45,4825,4826,1
46,4802,4750,0
47,4696,4766,0
48,4751,4827,0
49,4828,4805,1
50,4751,4782,0
51,4824,4689,1
52,4705,4731,0
53,4779,4712,0
54,4713,4820,0
55,4821,4714,1
56,4694,4622,1
57,4793,4809,1
58,4763,4775,0
59,4783,4819,0
60,4785,4735,1
61,4728,4807,0
62,4664,4817,0
63,4754,4799,0
64,4737,4683,0
65,4800,4789,0
66,4720,4666,1
67,4710,4659,1
68,4743,4772,0
69,4691,4804,1
70,4778,4722,1
71,4696,4784,0
72,4587,4814,0
73,4648,4811,0
74,4826,4827,1
75,4825,4801,1
76,4759,4769,1
77,4655,4828,1
78,4823,4813,1
79,4750,4792,0
80,4638,4795,0
81,4816,4798,0
82,4721,4815,0
83,4796,4740,1
84,4715,4812,1
85,4787,4723,1
86,4761,4781,1
87,4805,4806,0
88,4767,4725,0
89,4790,4756,0
90,4718,4803,0
91,4766,4770,0
92,4746,4591,1
93,4810,4753,0
94,4773,4742,0
95,4802,4670,0
96,4747,4786,0
97,4822,4818,0
98,4738,4794,1
99,4797,4808,1
100,4689,4772,0
101,4587,4812,1
102,4826,4779,1
103,4743,4814,0
104,4759,4735,1
105,4747,4820,0
106,4722,4767,1
107,4751,4737,1
108,4805,4691,0
109,4804,4746,0
110,4824,4781,1
111,4825,4761,1
112,4659,4694,0
113,4799,4773,1
114,4753,4809,0
115,4810,4725,1
116,4721,4782,1
117,4705,4666,0
118,4742,4591,1
119,4723,4769,1
120,4670,4696,1
121,4754,4775,0
122,4710,4819,0
123,4798,4817,1
124,4801,4816,1
125,4738,4787,0
126,4766,4811,0
127,4728,4715,0
128,4712,4664,1
129,4731,4786,1
130,4808,4718,1
131,4763,4720,0
132,4822,4797,0
133,4823,4622,1
134,4795,4803,1
135,4740,4785,0
136,4778,4806,1
